Industry,SUM_TTL_TRD_QNTY_M1,SUM_TTL_TRD_QNTY_M2,SUM_DELIV_QTY_M1,SUM_DELIV_QTY_M2,TTL_TRD_RATIO,DELIV_RATIO
Automobile and Auto Components,293941026,295044827,157885410,148375383,1.0037551784282062,0.9397662709936276
Capital Goods,460424820,300581155,227957724,144338000,0.6528343867300638,0.6331788081898905
Construction,44247015,43108321,24152046,27222929,0.9742650662423217,1.127147944319086
Construction Materials,21875399,16405927,13135286,9681135,0.7499715548045547,0.7370326767152234
Consumer Durables,53623029,39945477,28708278,23138258,0.7449313801352028,0.8059786100719799
Consumer Services,1343806281,970876008,726631908,529006877,0.722482117941522,0.7280259388223838
Fast Moving Consumer Goods,1041123794,492534071,599948099,267648079,0.47307925708592535,0.44611872167962313
Financial Services,2389900126,2198718232,1508368943,1371263177,0.9200042328463395,0.9091032955589036
Healthcare,233461222,172302551,139520483,107895391,0.7380349915242027,0.7733301138299529
Information Technology,584683947,946549300,327259146,463207575,1.6189076249770886,1.4154152165391276
Metals & Mining,959176008,816355120,430846709,343815055,0.8511004374496406,0.7979985638001009
Oil Gas & Consumable Fuels,938811854,723124387,484415213,356758175,0.7702548534288106,0.7364718642723551
Power,590426962,565005548,389604217,360216228,0.9569440157104478,0.9245696331875176
Services,80603178,71430592,41965237,35861757,0.8862006904988288,0.8545586672130554
Telecommunication,127124895,144176615,83495382,91422488,1.1341336014476158,1.0949406519273126
