SYMBOL,SUM_TTL_TRD_QNTY,SUM_DELIV_QTY
ADANIENT,6079008,2467042
ADANIPORTS,9577715,3880057
APOLLOHOSP,2220576,1623249
ASIANPAINT,4781150,3191998
AXISBANK,33247882,21952801
BAJAJ-AUTO,1149331,542127
BAJAJFINSV,4449035,2721455
BAJFINANCE,31727854,20994296
BEL,71079221,40934212
BHARTIARTL,46570510,29958429
CIPLA,10187247,5813398
COALINDIA,41199577,23429734
DRREDDY,10971232,6110994
EICHERMOT,2498535,1309569
ETERNAL,348756442,199172055
GRASIM,3599216,2256740
HCLTECH,29318915,18038084
HDFCBANK,158255102,102991061
HDFCLIFE,12463445,8150246
HINDALCO,23894190,13308602
HINDUNILVR,8527362,5636778
ICICIBANK,87685934,55799406
INDIGO,3225930,1948170
INFY,92032143,49655499
ITC,65276766,38315110
JIOFIN,51219978,30663823
JSWSTEEL,7259508,4023999
KOTAKBANK,66832977,45943887
LT,13005322,8190726
M&M,11755457,8179479
MARUTI,1686831,1014704
MAXHEALTH,15677991,10389775
NESTLEIND,5125000,3135956
NTPC,71930625,46691338
ONGC,68853990,36067477
POWERGRID,77529303,49646743
RELIANCE,59732355,24643910
SBILIFE,4138095,2491862
SBIN,71999791,46290812
SHRIRAMFIN,18836553,10046394
SUNPHARMA,10638835,7242067
TATACONSUM,4479905,2714360
TATASTEEL,146785319,69651719
TCS,24667698,14493988
TECHM,16974438,8911546
TITAN,3261051,2170903
TMPV,57312454,33082746
TRENT,3851173,1967123
ULTRACEMCO,1150312,711054
WIPRO,87628571,37206235
